ukmcs_variable_name,ukmcs_variable_label,mcs_variables_value_labels,combined_labels
APILWM0A,Type of illness/problem during preg MC1 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC1 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APILWM0B,Type of illness/problem during preg MC2 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC2 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APILWM0C,Type of illness/problem during preg MC3 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC3 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APILWM0D,Type of illness/problem during preg MC4 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC4 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APILWM0E,Type of illness/problem during preg MC5 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC5 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APILWM0F,Type of illness/problem during preg MC6 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC6 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APILWM0G,Type of illness/problem during preg MC7 ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of illness/problem during preg MC7 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Bleeding or threatened miscarriage; 2.0 = Bleeding in later pregnancy; 3.0 = Pregancy diagnosed as twins, triplets; 4.0 = Persistent vomiting; 5.0 = Raised blood pressure, pre/eclampsia; 6.0 = Urinary infection; 7.0 = Diabetes; 8.0 = Too much fluid around the baby; 9.0 = Suspected slow growth of baby; 51.0 = Other/Anaemia; 52.0 = Other/Blood group incompatibilities; 53.0 = Other/Other blood disorders; 54.0 = Other/Backache, sciatica, etc; 55.0 = Other/Symphysis pubis dysfunction (SPD); 56.0 = Other/Other pelvic joint problems; 57.0 = Other/Non-trivial infections; 58.0 = Other/Gestational diabetes, raised BP; 59.0 = Other/Liver, gall bladder problems, etc; 60.0 = Other/Asthma, hay fever, eczema etc; 61.0 = Other/Depression or mental illness; 62.0 = Other/Neurological problems: epilepsy; 63.0 = Other/Other neurological problems; 64.0 = Other/Uterine/labour pains, threatened,; 65.0 = Other/Early rupture of membranes, etc; 66.0 = Other/Foetal heart slow,faint,inaudible; 67.0 = Other/Other foetal problem suspected; 68.0 = Other/Bleeding due to lowlying placenta; 69.0 = Other/Too little fluid around the baby; 70.0 = Other/Accident or injury; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APADHOA0,Admitted to hospital for illness or problem R1  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R1  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOB0,Admitted to hospital for illness or problem R2  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R2  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOC0,Admitted to hospital for illness or problem R3  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R3  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOD0,Admitted to hospital for illness or problem R4  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R4  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOE0,Admitted to hospital for illness or problem R5  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R5  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOF0,Admitted to hospital for illness or problem R6  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R6  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOG0,Admitted to hospital for illness or problem R7  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R7  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOH0,Admitted to hospital for illness or problem R8  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R8  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOI0,Admitted to hospital for illness or problem R9  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R9  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APADHOJ0,Admitted to hospital for illness or problem R10 ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Admitted to hospital for illness or problem R10 : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APOBCO00,Any other babies conceived  ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes, only baby(ies) conceived","Any other babies conceived  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes, only baby(ies) conceived"
APHMBA00,How many other babies conceived ,-9.0 = Refusal; -8.0 = Don't Know,How many other babies conceived : -9.0 = Refusal; -8.0 = Don't Know
APPLBI00,Where child born,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... in hospital,; 2.0 = at home,; 51.0 = Other/On the way to hospital; 85.0 = Other answer (not codeable 1-2, 51); 86.0 = Irrelevant response","Where child born: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... in hospital,; 2.0 = at home,; 51.0 = Other/On the way to hospital; 85.0 = Other answer (not codeable 1-2, 51); 86.0 = Irrelevant response"
APSTHO00,How long stayed in hosptial (unit)  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Weeks; 2.0 = Days,How long stayed in hosptial (unit)  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Weeks; 2.0 = Days
APSTWK00,How long stayed in hosptial (weeks) ,-9.0 = Refusal; -8.0 = Don't Know,How long stayed in hosptial (weeks) : -9.0 = Refusal; -8.0 = Don't Know
APSTDA00,How long stayed in hosptial (days)  ,-9.0 = Refusal; -8.0 = Don't Know,How long stayed in hosptial (days)  : -9.0 = Refusal; -8.0 = Don't Know
APSTHR00,How long stayed in hosptial (hours) ,-9.0 = Refusal; -8.0 = Don't Know,How long stayed in hosptial (hours) : -9.0 = Refusal; -8.0 = Don't Know
APWATB0A,Who else present at birth MC1   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)","Who else present at birth MC1   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)"
APWATB0B,Who else present at birth MC2   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)","Who else present at birth MC2   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)"
APWATB0C,Who else present at birth MC3   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)","Who else present at birth MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)"
APWATB0D,Who else present at birth MC4   ,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)","Who else present at birth MC4   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = No, no one else; 2.0 = Yes, baby s father; 3.0 = Yes, friend; 4.0 = Yes, mother (in law)"
APLAIN00,Labour induced  ,-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,Labour induced  : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes
APDEWM0A,Type of delivery MC1,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... a normal delivery,; 2.0 = assisted with forceps,; 3.0 = assisted vacuum extraction,; 4.0 = assisted breach,; 5.0 = a planned Caesarian,; 6.0 = an emergency Caesarian,; 51.0 = Other/Other assisted delivery; 52.0 = Other/Water birth; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of delivery MC1: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... a normal delivery,; 2.0 = assisted with forceps,; 3.0 = assisted vacuum extraction,; 4.0 = assisted breach,; 5.0 = a planned Caesarian,; 6.0 = an emergency Caesarian,; 51.0 = Other/Other assisted delivery; 52.0 = Other/Water birth; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APDEWM0B,Type of delivery MC2,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... a normal delivery,; 2.0 = assisted with forceps,; 3.0 = assisted vacuum extraction,; 4.0 = assisted breach,; 5.0 = a planned Caesarian,; 6.0 = an emergency Caesarian,; 51.0 = Other/Other assisted delivery; 52.0 = Other/Water birth; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of delivery MC2: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... a normal delivery,; 2.0 = assisted with forceps,; 3.0 = assisted vacuum extraction,; 4.0 = assisted breach,; 5.0 = a planned Caesarian,; 6.0 = an emergency Caesarian,; 51.0 = Other/Other assisted delivery; 52.0 = Other/Water birth; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
APDEWM0C,Type of delivery MC3,"-9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... a normal delivery,; 2.0 = assisted with forceps,; 3.0 = assisted vacuum extraction,; 4.0 = assisted breach,; 5.0 = a planned Caesarian,; 6.0 = an emergency Caesarian,; 51.0 = Other/Other assisted delivery; 52.0 = Other/Water birth; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response","Type of delivery MC3: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = ... a normal delivery,; 2.0 = assisted with forceps,; 3.0 = assisted vacuum extraction,; 4.0 = assisted breach,; 5.0 = a planned Caesarian,; 6.0 = an emergency Caesarian,; 51.0 = Other/Other assisted delivery; 52.0 = Other/Water birth; 85.0 = Other answer (not codeable); 86.0 = Irrelevant response"
