echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
mh2_bf_2w_fam___1,2.w. Biological parents or siblings:  Other autoimmune diseases: Mother,"Mother: No, Mother: Yes","2.w. Biological parents or siblings:  Other autoimmune diseases: Mother: Mother: No, Mother: Yes"
mh2_bf_2w_fam___2,2.w. Biological parents or siblings:  Other autoimmune diseases: Father,"Father: No, Father: Yes","2.w. Biological parents or siblings:  Other autoimmune diseases: Father: Father: No, Father: Yes"
mh2_bf_2w_fam___3,2.w. Biological parents or siblings:  Other autoimmune diseases: Sibling(s),"Sibling(s): No, Sibling(s): Yes","2.w. Biological parents or siblings:  Other autoimmune diseases: Sibling(s): Sibling(s): No, Sibling(s): Yes"
mh2_bf_2x,2.x. Biological parents or siblings:  Breast cancer,"Yes, No, Not applicable, Declined, Don’t know, Missing","2.x. Biological parents or siblings:  Breast cancer: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_2x_fam___1,2.x. Biological parents or siblings:  Breast cancer: Mother,"Mother: No, Mother: Yes","2.x. Biological parents or siblings:  Breast cancer: Mother: Mother: No, Mother: Yes"
mh2_bf_2x_fam___2,2.x. Biological parents or siblings:  Breast cancer: Father,"Father: No, Father: Yes","2.x. Biological parents or siblings:  Breast cancer: Father: Father: No, Father: Yes"
mh2_bf_2x_fam___3,2.x. Biological parents or siblings:  Breast cancer: Sibling(s),"Sibling(s): No, Sibling(s): Yes","2.x. Biological parents or siblings:  Breast cancer: Sibling(s): Sibling(s): No, Sibling(s): Yes"
mh2_bf_2y,2.y. Biological parents or siblings:  Colon cancer,"Yes, No, Not applicable, Declined, Don’t know, Missing","2.y. Biological parents or siblings:  Colon cancer: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_2y_fam___1,2.y. Biological parents or siblings:  Colon cancer: Mother,"Mother: No, Mother: Yes","2.y. Biological parents or siblings:  Colon cancer: Mother: Mother: No, Mother: Yes"
mh2_bf_2y_fam___2,2.y. Biological parents or siblings:  Colon cancer: Father,"Father: No, Father: Yes","2.y. Biological parents or siblings:  Colon cancer: Father: Father: No, Father: Yes"
mh2_bf_2y_fam___3,2.y. Biological parents or siblings:  Colon cancer: Sibling(s),"Sibling(s): No, Sibling(s): Yes","2.y. Biological parents or siblings:  Colon cancer: Sibling(s): Sibling(s): No, Sibling(s): Yes"
xmh2_bf_2z_sp,2.z. Biological parents or siblings: Other cancer (de-identified),,2.z. Biological parents or siblings: Other cancer (de-identified): 
mh2_bf_2z,2.z. Biological parents or siblings:  Other cancer(s),"Yes, No, Not applicable, Declined, Don’t know, Missing","2.z. Biological parents or siblings:  Other cancer(s): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_2z_fam___1,2.z. Biological parents or siblings:  Other cancer(s): Mother,"Mother: No, Mother: Yes","2.z. Biological parents or siblings:  Other cancer(s): Mother: Mother: No, Mother: Yes"
mh2_bf_2z_fam___2,2.z. Biological parents or siblings:  Other cancer(s): Father,"Father: No, Father: Yes","2.z. Biological parents or siblings:  Other cancer(s): Father: Father: No, Father: Yes"
mh2_bf_2z_fam___3,2.z. Biological parents or siblings:  Other cancer(s): Sibling(s),"Sibling(s): No, Sibling(s): Yes","2.z. Biological parents or siblings:  Other cancer(s): Sibling(s): Sibling(s): No, Sibling(s): Yes"
mh2_bf_2aa,2.aa. Biological parents or siblings: Death,"Yes, No, Not applicable, Declined, Don’t know, Missing","2.aa. Biological parents or siblings: Death: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_2aa_fam___1,2.aa. Biological parents or siblings: Death: Mother,"Mother: No, Mother: Yes","2.aa. Biological parents or siblings: Death: Mother: Mother: No, Mother: Yes"
mh2_bf_2aa_fam___2,2.aa. Biological parents or siblings: Death: Father,"Father: No, Father: Yes","2.aa. Biological parents or siblings: Death: Father: Father: No, Father: Yes"
mh2_bf_2aa_fam___3,2.aa. Biological parents or siblings: Death: Sibling(s),"Sibling(s): No, Sibling(s): Yes","2.aa. Biological parents or siblings: Death: Sibling(s): Sibling(s): No, Sibling(s): Yes"
mh2_bf_3a,3.a. Maternal grandparents:  Asthma,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.a. Maternal grandparents:  Asthma: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3a_fam___1,3.a. Maternal grandparents:  Asthma: Grandmother,"Grandmother: No, Grandmother: Yes","3.a. Maternal grandparents:  Asthma: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3a_fam___2,3.a. Maternal grandparents:  Asthma: Grandfather,"Grandfather: No, Grandfather: Yes","3.a. Maternal grandparents:  Asthma: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3b,3.b. Maternal grandparents:  Eczema (atopic dermatitis),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.b. Maternal grandparents:  Eczema (atopic dermatitis): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3b_fam___1,3.b. Maternal grandparents:  Eczema (atopic dermatitis): Grandmother,"Grandmother: No, Grandmother: Yes","3.b. Maternal grandparents:  Eczema (atopic dermatitis): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3b_fam___2,3.b. Maternal grandparents:  Eczema (atopic dermatitis): Grandfather,"Grandfather: No, Grandfather: Yes","3.b. Maternal grandparents:  Eczema (atopic dermatitis): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3c,3.c. Maternal grandparents:  Food allergy,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.c. Maternal grandparents:  Food allergy: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3c_fam___1,3.c. Maternal grandparents:  Food allergy: Grandmother,"Grandmother: No, Grandmother: Yes","3.c. Maternal grandparents:  Food allergy: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3c_fam___2,3.c. Maternal grandparents:  Food allergy: Grandfather,"Grandfather: No, Grandfather: Yes","3.c. Maternal grandparents:  Food allergy: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3d,3.d. Maternal grandparents:  Hay fever (allergic rhinitis),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.d. Maternal grandparents:  Hay fever (allergic rhinitis): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3d_fam___1,3.d. Maternal grandparents:  Hay fever (allergic rhinitis): Grandmother,"Grandmother: No, Grandmother: Yes","3.d. Maternal grandparents:  Hay fever (allergic rhinitis): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3d_fam___2,3.d. Maternal grandparents:  Hay fever (allergic rhinitis): Grandfather,"Grandfather: No, Grandfather: Yes","3.d. Maternal grandparents:  Hay fever (allergic rhinitis): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3e,3.e. Maternal grandparents:  Anxiety,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.e. Maternal grandparents:  Anxiety: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3e_fam___1,3.e. Maternal grandparents:  Anxiety: Grandmother,"Grandmother: No, Grandmother: Yes","3.e. Maternal grandparents:  Anxiety: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3e_fam___2,3.e. Maternal grandparents:  Anxiety: Grandfather,"Grandfather: No, Grandfather: Yes","3.e. Maternal grandparents:  Anxiety: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3f,3.f. Maternal grandparents:  Bipolar disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.f. Maternal grandparents:  Bipolar disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3f_fam___1,3.f. Maternal grandparents:  Bipolar disorder: Grandmother,"Grandmother: No, Grandmother: Yes","3.f. Maternal grandparents:  Bipolar disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3f_fam___2,3.f. Maternal grandparents:  Bipolar disorder: Grandfather,"Grandfather: No, Grandfather: Yes","3.f. Maternal grandparents:  Bipolar disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3g,3.g. Maternal grandparents:  Depression,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.g. Maternal grandparents:  Depression: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3g_fam___1,3.g. Maternal grandparents:  Depression: Grandmother,"Grandmother: No, Grandmother: Yes","3.g. Maternal grandparents:  Depression: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3g_fam___2,3.g. Maternal grandparents:  Depression: Grandfather,"Grandfather: No, Grandfather: Yes","3.g. Maternal grandparents:  Depression: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3h,3.h. Maternal grandparents:  Eating disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.h. Maternal grandparents:  Eating disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3h_fam___1,3.h. Maternal grandparents:  Eating disorder: Grandmother,"Grandmother: No, Grandmother: Yes","3.h. Maternal grandparents:  Eating disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3h_fam___2,3.h. Maternal grandparents:  Eating disorder: Grandfather,"Grandfather: No, Grandfather: Yes","3.h. Maternal grandparents:  Eating disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3i,3.i. Maternal grandparents:  Schizophrenia,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.i. Maternal grandparents:  Schizophrenia: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3i_fam___1,3.i. Maternal grandparents:  Schizophrenia: Grandmother,"Grandmother: No, Grandmother: Yes","3.i. Maternal grandparents:  Schizophrenia: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3i_fam___2,3.i. Maternal grandparents:  Schizophrenia: Grandfather,"Grandfather: No, Grandfather: Yes","3.i. Maternal grandparents:  Schizophrenia: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3j,3.j. Maternal grandparents:  Alcoholism or other substance abuse,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.j. Maternal grandparents:  Alcoholism or other substance abuse: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3j_fam___1,3.j. Maternal grandparents:  Alcoholism or other substance abuse: Grandmother,"Grandmother: No, Grandmother: Yes","3.j. Maternal grandparents:  Alcoholism or other substance abuse: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3j_fam___2,3.j. Maternal grandparents:  Alcoholism or other substance abuse: Grandfather,"Grandfather: No, Grandfather: Yes","3.j. Maternal grandparents:  Alcoholism or other substance abuse: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3k,3.k. Maternal grandparents:  Attention deficit/hyperactivity disorder (ADHD),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.k. Maternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3k_fam___1,3.k. Maternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandmother,"Grandmother: No, Grandmother: Yes","3.k. Maternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3k_fam___2,3.k. Maternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandfather,"Grandfather: No, Grandfather: Yes","3.k. Maternal grandparents:  Attention deficit/hyperactivity disorder (ADHD): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3l,3.l. Maternal grandparents:  Autism spectrum disorder (ASD),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.l. Maternal grandparents:  Autism spectrum disorder (ASD): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3l_fam___1,3.l. Maternal grandparents:  Autism spectrum disorder (ASD): Grandmother,"Grandmother: No, Grandmother: Yes","3.l. Maternal grandparents:  Autism spectrum disorder (ASD): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3l_fam___2,3.l. Maternal grandparents:  Autism spectrum disorder (ASD): Grandfather,"Grandfather: No, Grandfather: Yes","3.l. Maternal grandparents:  Autism spectrum disorder (ASD): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3m,3.m. Maternal grandparents:  Learning disability (including dyslexia),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.m. Maternal grandparents:  Learning disability (including dyslexia): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3m_fam___1,3.m. Maternal grandparents:  Learning disability (including dyslexia): Grandmother,"Grandmother: No, Grandmother: Yes","3.m. Maternal grandparents:  Learning disability (including dyslexia): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3m_fam___2,3.m. Maternal grandparents:  Learning disability (including dyslexia): Grandfather,"Grandfather: No, Grandfather: Yes","3.m. Maternal grandparents:  Learning disability (including dyslexia): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3n,3.n. Maternal grandparents:  Intellectual disability (mental retardation),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.n. Maternal grandparents:  Intellectual disability (mental retardation): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3n_fam___1,3.n. Maternal grandparents:  Intellectual disability (mental retardation): Grandmother,"Grandmother: No, Grandmother: Yes","3.n. Maternal grandparents:  Intellectual disability (mental retardation): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3n_fam___2,3.n. Maternal grandparents:  Intellectual disability (mental retardation): Grandfather,"Grandfather: No, Grandfather: Yes","3.n. Maternal grandparents:  Intellectual disability (mental retardation): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3o,3.o. Maternal grandparents:  Epilepsy or seizure disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.o. Maternal grandparents:  Epilepsy or seizure disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3o_fam___1,3.o. Maternal grandparents:  Epilepsy or seizure disorder: Grandmother,"Grandmother: No, Grandmother: Yes","3.o. Maternal grandparents:  Epilepsy or seizure disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3o_fam___2,3.o. Maternal grandparents:  Epilepsy or seizure disorder: Grandfather,"Grandfather: No, Grandfather: Yes","3.o. Maternal grandparents:  Epilepsy or seizure disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3p,3.p. Maternal grandparents:  High cholesterol (hyperlipidemia),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.p. Maternal grandparents:  High cholesterol (hyperlipidemia): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3p_fam___1,3.p. Maternal grandparents:  High cholesterol (hyperlipidemia): Grandmother,"Grandmother: No, Grandmother: Yes","3.p. Maternal grandparents:  High cholesterol (hyperlipidemia): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3p_fam___2,3.p. Maternal grandparents:  High cholesterol (hyperlipidemia): Grandfather,"Grandfather: No, Grandfather: Yes","3.p. Maternal grandparents:  High cholesterol (hyperlipidemia): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3q,3.q. Maternal grandparents:  Hypertension / high blood pressure,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.q. Maternal grandparents:  Hypertension / high blood pressure: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3q_fam___1,3.q. Maternal grandparents:  Hypertension / high blood pressure: Grandmother,"Grandmother: No, Grandmother: Yes","3.q. Maternal grandparents:  Hypertension / high blood pressure: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3q_fam___2,3.q. Maternal grandparents:  Hypertension / high blood pressure: Grandfather,"Grandfather: No, Grandfather: Yes","3.q. Maternal grandparents:  Hypertension / high blood pressure: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3r,3.r. Maternal grandparents:  Diabetes,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.r. Maternal grandparents:  Diabetes: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3r_fam___1,3.r. Maternal grandparents:  Diabetes: Grandmother,"Grandmother: No, Grandmother: Yes","3.r. Maternal grandparents:  Diabetes: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3r_fam___2,3.r. Maternal grandparents:  Diabetes: Grandfather,"Grandfather: No, Grandfather: Yes","3.r. Maternal grandparents:  Diabetes: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3r1,3.r.1. Maternal grandparents:  Type 1 diabetes,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.r.1. Maternal grandparents:  Type 1 diabetes: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3r1_fam___1,3.r.1. Maternal grandparents:  Type 1 diabetes: Grandmother,"Grandmother: No, Grandmother: Yes","3.r.1. Maternal grandparents:  Type 1 diabetes: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3r1_fam___2,3.r.1. Maternal grandparents:  Type 1 diabetes: Grandfather,"Grandfather: No, Grandfather: Yes","3.r.1. Maternal grandparents:  Type 1 diabetes: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3s,3.s. Maternal grandparents:  Thyroid disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.s. Maternal grandparents:  Thyroid disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3s_fam___1,3.s. Maternal grandparents:  Thyroid disorder: Grandmother,"Grandmother: No, Grandmother: Yes","3.s. Maternal grandparents:  Thyroid disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3s_fam___2,3.s. Maternal grandparents:  Thyroid disorder: Grandfather,"Grandfather: No, Grandfather: Yes","3.s. Maternal grandparents:  Thyroid disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3t,"3.t. Maternal grandparents:  Coronary artery disease (including heart attack, angina)","Yes, No, Not applicable, Declined, Don’t know, Missing","3.t. Maternal grandparents:  Coronary artery disease (including heart attack, angina): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3t_fam___1,"3.t. Maternal grandparents:  Coronary artery disease (including heart attack, angina): Grandmother","Grandmother: No, Grandmother: Yes","3.t. Maternal grandparents:  Coronary artery disease (including heart attack, angina): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3t_fam___2,"3.t. Maternal grandparents:  Coronary artery disease (including heart attack, angina): Grandfather","Grandfather: No, Grandfather: Yes","3.t. Maternal grandparents:  Coronary artery disease (including heart attack, angina): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3u,3.u. Maternal grandparents:  Any other heart disease,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.u. Maternal grandparents:  Any other heart disease: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3u_fam___1,3.u. Maternal grandparents:  Any other heart disease: Grandmother,"Grandmother: No, Grandmother: Yes","3.u. Maternal grandparents:  Any other heart disease: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3u_fam___2,3.u. Maternal grandparents:  Any other heart disease: Grandfather,"Grandfather: No, Grandfather: Yes","3.u. Maternal grandparents:  Any other heart disease: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3v,3.v. Maternal grandparents:  Stroke,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.v. Maternal grandparents:  Stroke: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3v_fam___1,3.v. Maternal grandparents:  Stroke: Grandmother,"Grandmother: No, Grandmother: Yes","3.v. Maternal grandparents:  Stroke: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3v_fam___2,3.v. Maternal grandparents:  Stroke: Grandfather,"Grandfather: No, Grandfather: Yes","3.v. Maternal grandparents:  Stroke: Grandfather: Grandfather: No, Grandfather: Yes"
xmh2_bf_3w_sp,3.w. Maternal grandparents: Other autoimmune disease (de-identified),,3.w. Maternal grandparents: Other autoimmune disease (de-identified): 
mh2_bf_3w,3.w. Maternal grandparents:  Other autoimmune diseases,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.w. Maternal grandparents:  Other autoimmune diseases: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3w_fam___1,3.w. Maternal grandparents:  Other autoimmune diseases: Grandmother,"Grandmother: No, Grandmother: Yes","3.w. Maternal grandparents:  Other autoimmune diseases: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3w_fam___2,3.w. Maternal grandparents:  Other autoimmune diseases: Grandfather,"Grandfather: No, Grandfather: Yes","3.w. Maternal grandparents:  Other autoimmune diseases: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3x,3.x. Maternal grandparents:  Breast cancer,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.x. Maternal grandparents:  Breast cancer: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3x_fam___1,3.x. Maternal grandparents:  Breast cancer: Grandmother,"Grandmother: No, Grandmother: Yes","3.x. Maternal grandparents:  Breast cancer: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3x_fam___2,3.x. Maternal grandparents:  Breast cancer: Grandfather,"Grandfather: No, Grandfather: Yes","3.x. Maternal grandparents:  Breast cancer: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3y,3.y. Maternal grandparents:  Colon cancer,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.y. Maternal grandparents:  Colon cancer: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3y_fam___1,3.y. Maternal grandparents:  Colon cancer: Grandmother,"Grandmother: No, Grandmother: Yes","3.y. Maternal grandparents:  Colon cancer: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3y_fam___2,3.y. Maternal grandparents:  Colon cancer: Grandfather,"Grandfather: No, Grandfather: Yes","3.y. Maternal grandparents:  Colon cancer: Grandfather: Grandfather: No, Grandfather: Yes"
xmh2_bf_3z_sp,3.z. Maternal grandparents: Other cancer (de-identified),,3.z. Maternal grandparents: Other cancer (de-identified): 
mh2_bf_3z,3.z. Maternal grandparents:  Other cancer(s),"Yes, No, Not applicable, Declined, Don’t know, Missing","3.z. Maternal grandparents:  Other cancer(s): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3z_fam___1,3.z. Maternal grandparents:  Other cancer(s): Grandmother,"Grandmother: No, Grandmother: Yes","3.z. Maternal grandparents:  Other cancer(s): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3z_fam___2,3.z. Maternal grandparents:  Other cancer(s): Grandfather,"Grandfather: No, Grandfather: Yes","3.z. Maternal grandparents:  Other cancer(s): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_3aa,3.aa. Maternal grandparents: Death,"Yes, No, Not applicable, Declined, Don’t know, Missing","3.aa. Maternal grandparents: Death: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_3aa_fam___1,3.aa. Maternal grandparents: Death: Grandmother,"Grandmother: No, Grandmother: Yes","3.aa. Maternal grandparents: Death: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_3aa_fam___2,3.aa. Maternal grandparents: Death: Grandfather,"Grandfather: No, Grandfather: Yes","3.aa. Maternal grandparents: Death: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4a,4.a. Paternal grandparents:  Asthma,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.a. Paternal grandparents:  Asthma: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4a_fam___1,4.a. Paternal grandparents:  Asthma: Grandmother,"Grandmother: No, Grandmother: Yes","4.a. Paternal grandparents:  Asthma: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4a_fam___2,4.a. Paternal grandparents:  Asthma: Grandfather,"Grandfather: No, Grandfather: Yes","4.a. Paternal grandparents:  Asthma: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4b,4.b. Paternal grandparents:  Eczema (atopic dermatitis),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.b. Paternal grandparents:  Eczema (atopic dermatitis): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4b_fam___1,4.b. Paternal grandparents:  Eczema (atopic dermatitis): Grandmother,"Grandmother: No, Grandmother: Yes","4.b. Paternal grandparents:  Eczema (atopic dermatitis): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4b_fam___2,4.b. Paternal grandparents:  Eczema (atopic dermatitis): Grandfather,"Grandfather: No, Grandfather: Yes","4.b. Paternal grandparents:  Eczema (atopic dermatitis): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4c,4.c. Paternal grandparents:  Food allergy,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.c. Paternal grandparents:  Food allergy: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4c_fam___1,4.c. Paternal grandparents:  Food allergy: Grandmother,"Grandmother: No, Grandmother: Yes","4.c. Paternal grandparents:  Food allergy: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4c_fam___2,4.c. Paternal grandparents:  Food allergy: Grandfather,"Grandfather: No, Grandfather: Yes","4.c. Paternal grandparents:  Food allergy: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4d,4.d. Paternal grandparents:  Hay fever (allergic rhinitis),"Yes, No, Not applicable, Declined, Don’t know, Missing","4.d. Paternal grandparents:  Hay fever (allergic rhinitis): Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4d_fam___1,4.d. Paternal grandparents:  Hay fever (allergic rhinitis): Grandmother,"Grandmother: No, Grandmother: Yes","4.d. Paternal grandparents:  Hay fever (allergic rhinitis): Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4d_fam___2,4.d. Paternal grandparents:  Hay fever (allergic rhinitis): Grandfather,"Grandfather: No, Grandfather: Yes","4.d. Paternal grandparents:  Hay fever (allergic rhinitis): Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4e,4.e. Paternal grandparents:  Anxiety,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.e. Paternal grandparents:  Anxiety: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4e_fam___1,4.e. Paternal grandparents:  Anxiety: Grandmother,"Grandmother: No, Grandmother: Yes","4.e. Paternal grandparents:  Anxiety: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4e_fam___2,4.e. Paternal grandparents:  Anxiety: Grandfather,"Grandfather: No, Grandfather: Yes","4.e. Paternal grandparents:  Anxiety: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4f,4.f. Paternal grandparents:  Bipolar disorder,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.f. Paternal grandparents:  Bipolar disorder: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4f_fam___1,4.f. Paternal grandparents:  Bipolar disorder: Grandmother,"Grandmother: No, Grandmother: Yes","4.f. Paternal grandparents:  Bipolar disorder: Grandmother: Grandmother: No, Grandmother: Yes"
mh2_bf_4f_fam___2,4.f. Paternal grandparents:  Bipolar disorder: Grandfather,"Grandfather: No, Grandfather: Yes","4.f. Paternal grandparents:  Bipolar disorder: Grandfather: Grandfather: No, Grandfather: Yes"
mh2_bf_4g,4.g. Paternal grandparents:  Depression,"Yes, No, Not applicable, Declined, Don’t know, Missing","4.g. Paternal grandparents:  Depression: Yes, No, Not applicable, Declined, Don’t know, Missing"
mh2_bf_4g_fam___1,4.g. Paternal grandparents:  Depression: Grandmother,"Grandmother: No, Grandmother: Yes","4.g. Paternal grandparents:  Depression: Grandmother: Grandmother: No, Grandmother: Yes"
