ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
2.f. Biological parents or siblings:  Bipolar disorder: Mother,"2.f. Biological parents or siblings:  Bipolar disorder: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8451391470459743
2.f. Biological parents or siblings:  Bipolar disorder: Father,"2.f. Biological parents or siblings:  Bipolar disorder: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8399473890276904
2.f. Biological parents or siblings:  Bipolar disorder: Sibling(s),"2.f. Biological parents or siblings:  Bipolar disorder: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.826035042641219
2.g. Biological parents or siblings:  Depression,"2.g. Biological parents or siblings:  Depression: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8614840555175836
2.g. Biological parents or siblings:  Depression: Mother,"2.g. Biological parents or siblings:  Depression: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.851314689157734
2.g. Biological parents or siblings:  Depression: Father,"2.g. Biological parents or siblings:  Depression: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8461201783422292
2.g. Biological parents or siblings:  Depression: Sibling(s),"2.g. Biological parents or siblings:  Depression: Sibling(s): Sibling(s): No, Sibling(s): Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8274363117241362
2.h. Biological parents or siblings:  Eating disorder,"2.h. Biological parents or siblings:  Eating disorder: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8476517679255116
2.h. Biological parents or siblings:  Eating disorder: Mother,"2.h. Biological parents or siblings:  Eating disorder: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8323514180393262
2.h. Biological parents or siblings:  Eating disorder: Father,"2.h. Biological parents or siblings:  Eating disorder: Father: Father: No, Father: Yes",Fathers involvement in upbringing   ,Fathers involvement in upbringing   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Strongly agree; 2.0 = Agree; 3.0 = Neither agree nor disagree; 4.0 = Disagree; 5.0 = Strongly disagree,0.8257179910285475
2.h. Biological parents or siblings:  Eating disorder: Sibling(s),"2.h. Biological parents or siblings:  Eating disorder: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8266815291539507
2.i. Biological parents or siblings:  Schizophrenia,"2.i. Biological parents or siblings:  Schizophrenia: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8493865240048003
2.i. Biological parents or siblings:  Schizophrenia: Mother,"2.i. Biological parents or siblings:  Schizophrenia: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.833704626150317
2.i. Biological parents or siblings:  Schizophrenia: Father,"2.i. Biological parents or siblings:  Schizophrenia: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8302985347919578
2.i. Biological parents or siblings:  Schizophrenia: Sibling(s),"2.i. Biological parents or siblings:  Schizophrenia: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.821513750222242
2.j. Biological parents or siblings:  Alcoholism or other substance abuse,"2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.861377518830499
2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Mother,"2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8464486719987158
2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Father,"2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8475764219107154
2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Sibling(s),"2.j. Biological parents or siblings:  Alcoholism or other substance abuse: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8320753003632326
2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD),"2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8366904540905558
2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Mother,"2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8277476182096871
2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Father,"2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Father: Father: No, Father: Yes",DV Parents/Carers in Household  ,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,0.8294889008910551
2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Sibling(s),"2.k. Biological parents or siblings:  Attention deficit/hyperactivity disorder (ADHD): Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8225577521772452
2.l. Biological parents or siblings:  Autism spectrum disorder (ASD),"2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8431188746074473
2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Mother,"2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8298273248558394
2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Father,"2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Father: Father: No, Father: Yes",DV Parents/Carers in Household  ,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,0.8248013814777446
2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Sibling(s),"2.l. Biological parents or siblings:  Autism spectrum disorder (ASD): Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.813296312938352
2.m. Biological parents or siblings:  Learning disability (including dyslexia),"2.m. Biological parents or siblings:  Learning disability (including dyslexia): Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.849073989801773
2.m. Biological parents or siblings:  Learning disability (including dyslexia): Mother,"2.m. Biological parents or siblings:  Learning disability (including dyslexia): Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.832353436122022
2.m. Biological parents or siblings:  Learning disability (including dyslexia): Father,"2.m. Biological parents or siblings:  Learning disability (including dyslexia): Father: Father: No, Father: Yes",DV Parents/Carers in Household  ,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,0.8349608305283925
2.m. Biological parents or siblings:  Learning disability (including dyslexia): Sibling(s),"2.m. Biological parents or siblings:  Learning disability (including dyslexia): Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Parents/Carers in Household  ,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,0.8213390554954777
2.n. Biological parents or siblings:  Intellectual disability (mental retardation),"2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8568751017196278
2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Mother,"2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8466970874930819
2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Father,"2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Father: Father: No, Father: Yes",DV Parents/Carers in Household  ,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,0.8453321306280617
2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Sibling(s),"2.n. Biological parents or siblings:  Intellectual disability (mental retardation): Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Parents/Carers in Household  ,DV Parents/Carers in Household  : 1.0 = Both natural parents; 2.0 = Natural mother and step-parent; 3.0 = Natural mother and partner; 4.0 = Natural mother and adoptive parent; 5.0 = Natural father and adoptive parent; 6.0 = Two adoptive parents; 7.0 = Two foster parents; 8.0 = Two grandparents; 9.0 = Grandmother and partner; 10.0 = Natural mother only; 11.0 = Natural father only; 12.0 = Foster mother only,0.8271340658473638
2.o. Biological parents or siblings:  Epilepsy or seizure disorder,"2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.85412186118288
2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Mother,"2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.837717243477034
2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Father,"2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8349908767688167
2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Sibling(s),"2.o. Biological parents or siblings:  Epilepsy or seizure disorder: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8192893044853161
2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia),"2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8504563774770257
2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Mother,"2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8336221157356819
2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Father,"2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8300141704364128
2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Sibling(s),"2.p. Biological parents or siblings:  High cholesterol (hyperlipidemia): Sibling(s): Sibling(s): No, Sibling(s): Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8170450865399134
2.q. Biological parents or siblings:  Hypertension / high blood pressure,"2.q. Biological parents or siblings:  Hypertension / high blood pressure: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8565301877807509
2.q. Biological parents or siblings:  Hypertension / high blood pressure: Mother,"2.q. Biological parents or siblings:  Hypertension / high blood pressure: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8419389011065361
2.q. Biological parents or siblings:  Hypertension / high blood pressure: Father,"2.q. Biological parents or siblings:  Hypertension / high blood pressure: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8408410271224006
2.q. Biological parents or siblings:  Hypertension / high blood pressure: Sibling(s),"2.q. Biological parents or siblings:  Hypertension / high blood pressure: Sibling(s): Sibling(s): No, Sibling(s): Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.821633858242338
2.r. Biological parents or siblings:  Diabetes,"2.r. Biological parents or siblings:  Diabetes: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8609034974817106
2.r. Biological parents or siblings:  Diabetes: Mother,"2.r. Biological parents or siblings:  Diabetes: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8474283152812176
2.r. Biological parents or siblings:  Diabetes: Father,"2.r. Biological parents or siblings:  Diabetes: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8428214634611645
2.r. Biological parents or siblings:  Diabetes: Sibling(s),"2.r. Biological parents or siblings:  Diabetes: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8314707051502207
2.r.1. Biological parents or siblings:  Type 1 diabetes,"2.r.1. Biological parents or siblings:  Type 1 diabetes: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.854837373279935
2.r.1. Biological parents or siblings:  Type 1 diabetes: Mother,"2.r.1. Biological parents or siblings:  Type 1 diabetes: Mother: Mother: No, Mother: Yes",Type of Diabetes MC2,"Type of Diabetes MC2: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Diabetes occurring only in pregnancy; 2.0 = Insulin dependent, that is controlled by injection; 3.0 = Non-insulin dependent, that is controlled by diet or",0.8372820625394003
2.r.1. Biological parents or siblings:  Type 1 diabetes: Father,"2.r.1. Biological parents or siblings:  Type 1 diabetes: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8330974768135974
2.r.1. Biological parents or siblings:  Type 1 diabetes: Sibling(s),"2.r.1. Biological parents or siblings:  Type 1 diabetes: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8303421328923767
2.s. Biological parents or siblings:  Thyroid disorder,"2.s. Biological parents or siblings:  Thyroid disorder: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8564908099215258
2.s. Biological parents or siblings:  Thyroid disorder: Mother,"2.s. Biological parents or siblings:  Thyroid disorder: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8405744535953742
2.s. Biological parents or siblings:  Thyroid disorder: Father,"2.s. Biological parents or siblings:  Thyroid disorder: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8361323514054712
2.s. Biological parents or siblings:  Thyroid disorder: Sibling(s),"2.s. Biological parents or siblings:  Thyroid disorder: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8220902549849559
"2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina)","2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8480434720458663
"2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Mother","2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8337682149254939
"2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Father","2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8312454111818632
"2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Sibling(s)","2.t. Biological parents or siblings:  Coronary artery disease (including heart attack, angina): Sibling(s): Sibling(s): No, Sibling(s): Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8123982894425066
2.u. Biological parents or siblings:  Any other heart disease,"2.u. Biological parents or siblings:  Any other heart disease: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8633663141229377
2.u. Biological parents or siblings:  Any other heart disease: Mother,"2.u. Biological parents or siblings:  Any other heart disease: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8472693618887858
2.u. Biological parents or siblings:  Any other heart disease: Father,"2.u. Biological parents or siblings:  Any other heart disease: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8479236081067367
2.u. Biological parents or siblings:  Any other heart disease: Sibling(s),"2.u. Biological parents or siblings:  Any other heart disease: Sibling(s): Sibling(s): No, Sibling(s): Yes",DV Whether any foster siblings in household ,DV Whether any foster siblings in household : 1.0 = Foster sib in HH,0.8352699372365083
2.v. Biological parents or siblings:  Stroke,"2.v. Biological parents or siblings:  Stroke: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8637584013174449
2.v. Biological parents or siblings:  Stroke: Mother,"2.v. Biological parents or siblings:  Stroke: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8492618420158089
2.v. Biological parents or siblings:  Stroke: Father,"2.v. Biological parents or siblings:  Stroke: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8431731721472578
2.v. Biological parents or siblings:  Stroke: Sibling(s),"2.v. Biological parents or siblings:  Stroke: Sibling(s): Sibling(s): No, Sibling(s): Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.824095823763322
2.Ot Biological parents or siblings: her autoimmune disease (de-identified),2.Ot Biological parents or siblings: her autoimmune disease (de-identified): ,Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8332820395535631
2.w. Biological parents or siblings:  Other autoimmune diseases,"2.w. Biological parents or siblings:  Other autoimmune diseases: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.854678346726528
2.w. Biological parents or siblings:  Other autoimmune diseases: Mother,"2.w. Biological parents or siblings:  Other autoimmune diseases: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.832938907652421
2.w. Biological parents or siblings:  Other autoimmune diseases: Father,"2.w. Biological parents or siblings:  Other autoimmune diseases: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8297986600379204
2.w. Biological parents or siblings:  Other autoimmune diseases: Sibling(s),"2.w. Biological parents or siblings:  Other autoimmune diseases: Sibling(s): Sibling(s): No, Sibling(s): Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8165347692364131
2.x. Biological parents or siblings:  Breast cancer,"2.x. Biological parents or siblings:  Breast cancer: Yes, No, Not applicable, Declined, Don’t know, Missing",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8696729151597183
2.x. Biological parents or siblings:  Breast cancer: Mother,"2.x. Biological parents or siblings:  Breast cancer: Mother: Mother: No, Mother: Yes",Whether parent-respondent s mother is alive ,Whether parent-respondent s mother is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8502310839579693
2.x. Biological parents or siblings:  Breast cancer: Father,"2.x. Biological parents or siblings:  Breast cancer: Father: Father: No, Father: Yes",Whether parent-respondent s father is alive ,Whether parent-respondent s father is alive : 1.0 = Yes; 2.0 = No; 3.0 = Don t know; -9.0 = Refusal; -8.0 = Don't Know,0.8454285512908788
